County	Population
Montgomery County	1,043,863
Prince George's County	908,049
Baltimore County	831,026
Anne Arundel County	568,346
Howard County	317,233
Harford County	251,032
Frederick County	247,591
Carroll County	167,656
Charles County	157,705
Washington County	150,292
St. Mary's County	112,587
Cecil County	102,603
Wicomico County	102,577
Calvert County	91,251
Allegany County	72,130
Worcester County	51,444
Queen Anne's County	48,929
Talbot County	37,278
Caroline County	32,850
Dorchester County	32,258
Garrett County	29,425
Somerset County	25,928
Kent County	19,730
